date,business_name,comment,longitude,latitude,status
2017-02-18 20:54:59+00:00,Shin-Sen-Gumi Yakitori Izakaya - West L.A.,,-118.449145,34.046994,Displayed
2017-10-11 04:23:25+00:00,Kippy's Ice Cream Shop,,-118.478462,33.996849,Displayed
2017-11-14 03:20:41+00:00,Kippy's Ice Cream Shop,,-118.478468,33.996828,Displayed
2018-01-20 08:34:37+00:00,Milk Tavern,,-118.308877,34.064488,Displayed
2018-04-21 20:51:20+00:00,Junbi Matcha & Tea - Westwood,,-118.447691,34.062437,Displayed
2018-08-06 02:37:15+00:00,So Gong Dong Tofu House,Hanging out with friends!,-122.125245,37.41369,Displayed
2018-08-08 19:38:19+00:00,wonderful,Work lunch!,-122.391501,37.600531,Displayed
2018-08-08 20:42:19+00:00,Bambu,Post work lunch boba!,-122.389952,37.600394,Displayed
2018-08-13 20:01:06+00:00,Ben Tre Vietnamese Homestyle Cuisine,Work lunch!,-122.390129,37.60063,Displayed
2018-08-13 20:02:21+00:00,Bambu,Post work lunch boba,-122.389846,37.600423,Displayed
2018-08-14 03:08:48+00:00,Ben Tre Vietnamese Homestyle Cuisine,Hanging out with friends! Second time at Ben Tre in one day!,-122.323795,37.566078,Displayed
2018-08-14 03:52:03+00:00,Sharetea,Post dinner boba!,-122.322689,37.566164,Displayed
2018-08-14 19:40:51+00:00,Little Lucca,Work lunch,-122.38446,37.594099,Displayed
2018-08-14 20:21:45+00:00,Tiger Tea & Juice - Burlingame,,-122.384276,37.593933,Displayed
2018-08-15 19:29:39+00:00,wonderful,Here to see anil off before the wedding!,-122.391363,37.600679,Displayed
2018-08-15 20:22:48+00:00,Bambu,Boba!,-122.389937,37.600382,Displayed
2018-08-16 02:11:05+00:00,Sushi Sam's Edomata,Dinner!,-122.322791,37.56516,Displayed
2018-08-16 03:34:45+00:00,Cha Express,Boba!,-122.32279,37.565129,Displayed
2018-08-16 19:46:23+00:00,The Counter San Mateo,Work lunch!,-122.298057,37.535687,Displayed
2018-08-17 03:17:00+00:00,Himawari,Ramen!,-122.323791,37.56574,Displayed
2018-08-17 19:44:41+00:00,Little Sichuan,Work lunch!,-122.322349,37.563758,Displayed
2018-08-17 20:49:59+00:00,Chatime,Boba!,-122.322921,37.564039,Displayed
2018-08-19 03:15:34+00:00,Tín On Spear,Food,-122.421985,37.7653,Displayed
2018-08-19 19:26:28+00:00,San Tung,Wings,-122.468986,37.763671,Displayed
2018-08-19 21:41:56+00:00,Home Coffee Roasters,Coffee!,-122.481028,37.782224,Displayed
2018-08-20 03:11:13+00:00,Peony Seafood Restaurant,Dinner banquet,-122.271503,37.8008,Displayed
2018-08-20 20:13:31+00:00,The Burrow,Boba guys,-122.403079,37.683486,Displayed
2018-08-23 20:28:10+00:00,The Burrow,Boba,-122.403034,37.683514,Displayed
2018-08-24 19:38:52+00:00,Blue Line Pizza,Work lunch!,-122.345858,37.579807,Displayed
2018-08-24 20:39:12+00:00,i-Tea,Boba!,-122.34688,37.580137,Displayed
2018-08-25 18:26:26+00:00,Grand Palace Seafood Restaurant 富源酒家,Dim sum with family!,-122.411521,37.655393,Displayed
2018-08-26 03:02:07+00:00,Ben Tre Vietnamese Homestyle Cuisine,Dinner!,-122.323911,37.565965,Displayed
2018-08-28 19:48:16+00:00,Mom's Tofu House,Work lunch!,-122.409015,37.654664,Displayed
2018-08-28 20:46:58+00:00,BeauTea,Post work lunch boba!,-122.412013,37.65554,Displayed
2018-08-29 18:44:15+00:00,wonderful,Work lunch!,-122.391423,37.600679,Displayed
2018-08-29 19:34:21+00:00,Bambu,Post work lunch boba!,-122.389797,37.600537,Displayed
2018-08-30 02:05:42+00:00,Saigon City,Dinner!,-122.321014,37.566588,Displayed
2018-08-30 19:29:36+00:00,Ben Tre Vietnamese Homestyle Cuisine,Work lunch!,-122.323846,37.566097,Displayed
2018-08-31 19:33:54+00:00,Bangkok Patio,Work lunch!,-122.319741,37.567303,Displayed
2018-09-03 02:29:18+00:00,Himawari,Dinner!,-122.323909,37.565824,Displayed
2018-09-03 21:11:48+00:00,Hummus Mediterranean Kitchen,Post movie lunch!,-122.322815,37.563899,Displayed
2018-09-04 19:55:21+00:00,Happy Lemon,Work boba!,-122.41752,37.637182,Displayed
2018-09-05 20:00:33+00:00,The Burrow,Work boba!,-122.403069,37.683426,Displayed
2018-09-06 02:15:04+00:00,Triple Rock Brewery & Ale House,Trivia!,-122.268555,37.873479,Displayed
2018-09-07 19:54:06+00:00,Taqueria San Bruno,Work lunch!,-122.411405,37.635211,Displayed
2018-09-10 19:34:16+00:00,wonderful,Work lunch!,-122.391459,37.600676,Displayed
2018-09-10 20:42:56+00:00,Bambu,Post work lunch boba!,-122.389823,37.600588,Displayed
2018-09-11 20:32:38+00:00,The Burrow,Work boba!,-122.403127,37.683401,Displayed
2018-09-13 19:47:41+00:00,Dumpling Empire,Work lunch!,-122.40881,37.654609,Displayed
2018-09-13 20:33:54+00:00,BeauTea,Post work lunch boba!,-122.412052,37.655658,Displayed
2018-09-14 19:51:20+00:00,Crepevine Restaurants,Last work lunch!,-122.347608,37.578496,Displayed
2018-09-14 20:36:21+00:00,Happy Lemon,Last post work lunch boba!,-122.348412,37.577331,Displayed
2018-09-17 18:25:01+00:00,Ramen Dojo,Lunch!,-122.318533,37.562152,Displayed
